City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,puerto deseado,-47.7503,-65.8938,13.08,64,100,12.31,AR,1686233479
338,kerikeri,-35.2268,173.9474,12.17,81,87,0.89,NZ,1686233474
339,tizi gheniff,36.5884,3.7745,33.51,29,100,4.59,DZ,1686234012
340,as sulayyil,20.4607,45.5779,42.14,10,1,1.57,SA,1686234012
341,tolanaro,-25.0319,46.9987,23.96,80,0,6.02,MG,1686233475
342,harnosand,62.6323,17.9379,14.01,42,100,1.3,SE,1686234012
343,ghazni,33.5536,68.4269,26.28,13,0,2.54,AF,1686234013
344,morant bay,17.8815,-76.4093,29.84,84,88,5.44,JM,1686234013
345,coahuayana de hidalgo,18.7,-103.6583,27.09,75,29,0.71,MX,1686234013
346,visakhapatnam,17.69,83.2093,33.94,59,20,1.54,IN,1686234013
347,yeniseysk,58.4497,92.1703,25.16,62,5,1.3,RU,1686234013
348,amungan,15.3652,119.9582,27.9,79,69,0.9,PH,1686234013
349,agua branca,-5.8922,-42.6361,32.26,43,15,3.41,BR,1686234014
350,murzuq,25.9155,13.9184,36.13,17,92,2.11,LY,1686234014
351,namibe,-15.1961,12.1522,21.93,64,9,4.15,AO,1686233490
352,antsohihy,-14.8796,47.9875,29.54,42,0,2.79,MG,1686234014
353,vila velha,-20.3297,-40.2925,26.08,59,40,2.57,BR,1686233447
354,russkaya polyana,49.417,31.9201,20.92,58,99,2.6,UA,1686234014
355,oulu,65.0124,25.4682,11.23,74,75,6.69,FI,1686234014
356,christchurch,-43.5333,172.6333,6.64,89,100,1.03,NZ,1686233943
357,aginskoye,51.1,114.53,12.26,62,35,3.82,RU,1686234014
358,al jadid,27.05,14.4,34.17,18,10,2.36,LY,1686234015
359,isangel,-19.55,169.2667,21.07,66,3,4.1,VU,1686233471
360,reftinskiy,57.0901,61.6769,14.33,65,96,4.89,RU,1686234015
361,breves,-1.6822,-50.4803,29.3,68,68,1.59,BR,1686234015
362,shahrinav,38.5709,68.335,34.55,18,12,2.72,TJ,1686234015
